Model,Dropout,Patience,Best Epoch,Validation Loss,Validation MAE
LSTM,0.1,5,27,0.010827134363353252,0.11854593455791473
LSTM,0.3,10,29,0.010722393169999123,0.11872260272502899
LSTM,0.2,5,24,0.010851899161934853,0.119111068546772
LSTM,0.2,10,30,0.01097345631569624,0.11936628073453903
LSTM,0.1,10,30,0.010953805409371853,0.1193670928478241
LSTM,0.3,5,25,0.010877061635255814,0.11946134269237518
SimpleRNN,0.2,10,30,0.011257905513048172,0.12012232095003128
SimpleRNN,0.1,10,29,0.011220535263419151,0.12092746794223785
SimpleRNN,0.1,5,7,0.011199154891073704,0.1210779920220375
SimpleRNN,0.3,10,25,0.01117926836013794,0.12120913714170456
SimpleRNN,0.3,5,19,0.011596465483307838,0.12196560204029083
SimpleRNN,0.2,5,15,0.011487388052046299,0.12223808467388153
